gpcr,name,accession,receptor_class,receptor_family,ligand_type,subfamily,endogenous_ligands,species
ackr3_human,ACKR3,P25106,Class A (Rhodopsin),Chemokine receptors,Protein receptors,ACKR3,"[{'name': 'CXCL11'}, {'name': 'CXCL12&alpha;'}]",Homo sapiens
ackr4_human,ACKR4,Q9NPB9,Class A (Rhodopsin),Chemokine receptors,Protein receptors,ACKR4,"[{'name': 'CCL19'}, {'name': 'CCL21'}, {'name': 'CCL25'}]",Homo sapiens
ccrl2_human,CCRL2,O00421,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCRL2,"[{'name': 'CCL19'}, {'name': 'chemerin C-terminal peptide'}, {'name': 'CCL19'}]",Homo sapiens
fshr_human,FSH receptor,P23945,Class A (Rhodopsin),Glycoprotein hormone receptors,Protein receptors,FSH receptor,"[{'name': 'FSH'}, {'name': 'FSH'}, {'name': 'FSH'}, {'name': 'FSH'}]",Homo sapiens
lshr_human,LH receptor,P22888,Class A (Rhodopsin),Glycoprotein hormone receptors,Protein receptors,LH receptor,"[{'name': 'LH'}, {'name': 'hCG'}]",Homo sapiens
tshr_human,TSH receptor,P16473,Class A (Rhodopsin),Glycoprotein hormone receptors,Protein receptors,TSH receptor,[{'name': 'TSH'}],Homo sapiens
pkr1_human,PKR<sub>1</sub>,Q8TCW9,Class A (Rhodopsin),Prokineticin receptors,Protein receptors,PKR<sub>1</sub>,"[{'name': 'prokineticin-1'}, {'name': 'prokineticin-2'}, {'name': 'prokineticin-2&beta;'}, {'name': 'prokineticin-1'}, {'name': 'prokineticin-1'}, {'name': 'prokineticin-2'}, {'name': 'prokineticin-2'}]",Homo sapiens
pkr2_human,PKR<sub>2</sub>,Q8NFJ6,Class A (Rhodopsin),Prokineticin receptors,Protein receptors,PKR<sub>2</sub>,"[{'name': 'prokineticin-1'}, {'name': 'prokineticin-2'}, {'name': 'prokineticin-2&beta;'}, {'name': 'prokineticin-1'}, {'name': 'prokineticin-1'}, {'name': 'prokineticin-2'}, {'name': 'prokineticin-2'}]",Homo sapiens
gpr3_human,<i>GPR3</i>,P46089,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR3</i>,[{'name': 'sphingosine 1-phosphate'}],Homo sapiens
gpr4_human,<i>GPR4</i>,P46093,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR4</i>,[],Homo sapiens
gpr6_human,<i>GPR6</i>,P46095,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR6</i>,[{'name': 'sphingosine 1-phosphate'}],Homo sapiens
gpr12_human,<i>GPR12</i>,P47775,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR12</i>,[{'name': 'sphingosine 1-phosphate'}],Homo sapiens
gpr15_human,<i>GPR15</i>,P49685,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR15</i>,[],Homo sapiens
gpr17_human,<i>GPR17</i>,Q13304,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR17</i>,"[{'name': 'ATP'}, {'name': 'UDP'}, {'name': 'UDP-galactose'}, {'name': 'UDP-glucose'}, {'name': 'LTE<sub>4</sub>'}, {'name': 'LTD<sub>4</sub>'}, {'name': 'LTC<sub>4</sub>'}]",Homo sapiens
gpr19_human,<i>GPR19</i>,Q15760,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR19</i>,[],Homo sapiens
gpr20_human,<i>GPR20</i>,Q99678,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR20</i>,[],Homo sapiens
gpr21_human,<i>GPR21</i>,Q99679,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR21</i>,[],Homo sapiens
gpr22_human,<i>GPR22</i>,Q99680,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR22</i>,[],Homo sapiens
gpr25_human,<i>GPR25</i>,O00155,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR25</i>,[],Homo sapiens
gpr26_human,<i>GPR26</i>,Q8NDV2,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR26</i>,[],Homo sapiens
gpr27_human,<i>GPR27</i>,Q9NS67,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR27</i>,[],Homo sapiens
gpr31_human,<i>GPR31</i>,O00270,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR31</i>,[{'name': '12S-HETE'}],Homo sapiens
gpr32_human,<i>GPR32</i>,O75388,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR32</i>,"[{'name': 'LXA<sub>4</sub>'}, {'name': 'LXA<sub>4</sub>'}, {'name': 'resolvin D1'}, {'name': 'resolvin D1'}]",Homo sapiens
gpr33_human,<i>GPR33</i>,Q49SQ1,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR33</i>,[],Homo sapiens
gpr34_human,<i>GPR34</i>,Q9UPC5,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR34</i>,[{'name': 'lysophosphatidylserine'}],Homo sapiens
gpr35_human,<i>GPR35</i>,Q9HC97,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR35</i>,"[{'name': 'kynurenic acid'}, {'name': '2-oleoyl-LPA'}, {'name': '2-Oleoyllysophosphatydic acid'}, {'name': '1-Lyso-2-oleoyl-phosphatidic acid'}]",Homo sapiens
gpr37_human,<i>GPR37</i>,O15354,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR37</i>,[{'name': 'prosaptide'}],Homo sapiens
g37l1_human,<i>GPR37L1</i>,O60883,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR37L1</i>,[{'name': 'prosaptide'}],Homo sapiens
gpr39_human,<i>GPR39</i>,O43194,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR39</i>,"[{'name': 'Zn<sup>2+</sup>'}, {'name': 'obestatin'}, {'name': 'obestatin'}, {'name': 'obestatin'}]",Homo sapiens
gpr45_human,<i>GPR45</i>,Q9Y5Y3,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR45</i>,[],Homo sapiens
mtr1l_human,<i>GPR50</i>,Q13585,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR50</i>,[],Homo sapiens
gpr52_human,<i>GPR52</i>,Q9Y2T5,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR52</i>,[],Homo sapiens
gpr61_human,<i>GPR61</i>,Q9BZJ8,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR61</i>,[],Homo sapiens
gpr62_human,<i>GPR62</i>,Q9BZJ7,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR62</i>,[],Homo sapiens
gpr63_human,<i>GPR63</i>,Q9BZJ6,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR63</i>,"[{'name': 'sphingosine 1-phosphate'}, {'name': 'dihydrosphingosine 1-phosphate'}, {'name': 'dioleoylphosphatidic acid'}, {'name': '[(2S)-2-[(Z)-octadec-9-enoyl]oxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate'}, {'name': '1,2-Dioleoyl-sn-glycerol-3-phosphate'}]",Homo sapiens
psyr_human,<i>GPR65</i>,Q8IYL9,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR65</i>,[],Homo sapiens
ogr1_human,<i>GPR68</i>,Q15743,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR68</i>,[],Homo sapiens
gpr75_human,<i>GPR75</i>,O95800,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR75</i>,[{'name': 'CCL5'}],Homo sapiens
gpr78_human,<i>GPR78</i>,Q96P69,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR78</i>,[],Homo sapiens
gpr82_human,<i>GPR82</i>,Q96P67,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR82</i>,[],Homo sapiens
gpr83_human,<i>GPR83</i>,Q9NYM4,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR83</i>,[],Homo sapiens
gpr84_human,<i>GPR84</i>,Q9NQS5,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR84</i>,[],Homo sapiens
gpr85_human,<i>GPR85</i>,P60893,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR85</i>,[],Homo sapiens
gpr87_human,<i>GPR87</i>,Q9BY21,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR87</i>,"[{'name': 'LPA'}, {'name': 'LYSOPHOSPHATIDIC ACID'}, {'name': 'LYSOPHOSPHATIDIC ACID'}, {'name': '1-O-Oleoyl-D-glycerol 3-phosphoric acid'}]",Homo sapiens
gpr88_human,<i>GPR88</i>,Q9GZN0,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR88</i>,[],Homo sapiens
gp101_human,<i>GPR101</i>,Q96P66,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR101</i>,[],Homo sapiens
gp132_human,<i>GPR132</i>,Q9UNW8,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR132</i>,[{'name': '9-hydroxyoctadecadienoic acid'}],Homo sapiens
gp135_human,<i>GPR135</i>,Q8IZ08,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR135</i>,[],Homo sapiens
gp139_human,<i>GPR139</i>,Q6DWJ6,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR139</i>,"[{'name': 'L-tryptophan'}, {'name': 'L-phenylalanine'}]",Homo sapiens
gp141_human,<i>GPR141</i>,Q7Z602,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR141</i>,[],Homo sapiens
gp142_human,<i>GPR142</i>,Q7Z601,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR142</i>,[],Homo sapiens
gp146_human,<i>GPR146</i>,Q96CH1,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR146</i>,[],Homo sapiens
gp148_human,<i>GPR148</i>,Q8TDV2,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR148</i>,[],Homo sapiens
gp149_human,<i>GPR149</i>,Q86SP6,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR149</i>,[],Homo sapiens
gp150_human,<i>GPR150</i>,Q8NGU9,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR150</i>,[],Homo sapiens
gp151_human,<i>GPR151</i>,Q8TDV0,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR151</i>,[],Homo sapiens
gp152_human,<i>GPR152</i>,Q8TDT2,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR152</i>,[],Homo sapiens
gp153_human,<i>GPR153</i>,Q6NV75,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR153</i>,[],Homo sapiens
gp160_human,<i>GPR160</i>,Q9UJ42,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR160</i>,[],Homo sapiens
gp161_human,<i>GPR161</i>,Q8N6U8,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR161</i>,[],Homo sapiens
gp162_human,<i>GPR162</i>,Q16538,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR162</i>,[],Homo sapiens
gp171_human,<i>GPR171</i>,O14626,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR171</i>,[],Homo sapiens
gp173_human,<i>GPR173</i>,Q9NS66,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR173</i>,[],Homo sapiens
gp174_human,<i>GPR174</i>,Q9BXC1,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR174</i>,[{'name': 'lysophosphatidylserine'}],Homo sapiens
gp176_human,<i>GPR176</i>,Q14439,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR176</i>,[],Homo sapiens
gp182_human,<i>GPR182</i>,O15218,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR182</i>,[],Homo sapiens
gp183_human,<i>GPR183</i>,P32249,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>GPR183</i>,"[{'name': '27-hydroxycholesterol'}, {'name': '25-hydroxycholesterol'}, {'name': '7&alpha;,25-dihydroxycholesterol'}, {'name': '7&alpha;-hydroxycholesterol'}, {'name': '7&beta;-hydroxycholesterol'}, {'name': '7&alpha;,27-dihydroxycholesterol'}, {'name': '7&beta;, 27-dihydroxycholesterol'}, {'name': '7&beta;, 25-dihydroxycholesterol'}]",Homo sapiens
lgr4_human,<i>LGR4</i>,Q9BXB1,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>LGR4</i>,"[{'name': 'R-spondin-1'}, {'name': 'R-spondin-2'}, {'name': 'R-spondin-3'}, {'name': 'R-spondin-4'}]",Homo sapiens
lgr5_human,<i>LGR5</i>,O75473,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>LGR5</i>,"[{'name': 'R-spondin-1'}, {'name': 'R-spondin-2'}, {'name': 'R-spondin-3'}, {'name': 'R-spondin-4'}]",Homo sapiens
lgr6_human,<i>LGR6</i>,Q9HBX8,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>LGR6</i>,"[{'name': 'R-spondin-1'}, {'name': 'R-spondin-2'}, {'name': 'R-spondin-3'}, {'name': 'R-spondin-4'}]",Homo sapiens
mas_human,<i>MAS1</i>,P04201,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MAS1</i>,[],Homo sapiens
mas1l_human,<i>MAS1L</i>,P35410,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MAS1L</i>,[],Homo sapiens
mrgrd_human,<i>MRGPRD</i>,Q8TDS7,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MRGPRD</i>,[{'name': '&beta;-alanine'}],Homo sapiens
mrgre_human,<i>MRGPRE</i>,Q86SM8,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MRGPRE</i>,[],Homo sapiens
mrgrf_human,<i>MRGPRF</i>,Q96AM1,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MRGPRF</i>,[],Homo sapiens
mrgrg_human,<i>MRGPRG</i>,Q86SM5,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MRGPRG</i>,[],Homo sapiens
mrgx1_human,<i>MRGPRX1</i>,Q96LB2,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MRGPRX1</i>,[{'name': 'bovine adrenal medulla peptide 8-22'}],Homo sapiens
mrgx2_human,<i>MRGPRX2</i>,Q96LB1,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MRGPRX2</i>,[{'name': 'PAMP-20'}],Homo sapiens
mrgx3_human,<i>MRGPRX3</i>,Q96LB0,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MRGPRX3</i>,[],Homo sapiens
mrgx4_human,<i>MRGPRX4</i>,Q96LA9,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>MRGPRX4</i>,[],Homo sapiens
p2ry8_human,<i>P2RY8</i>,Q86VZ1,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>P2RY8</i>,[],Homo sapiens
p2y10_human,<i>P2RY10</i>,O00398,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>P2RY10</i>,"[{'name': 'sphingosine 1-phosphate'}, {'name': 'LPA'}, {'name': 'LYSOPHOSPHATIDIC ACID'}, {'name': 'LYSOPHOSPHATIDIC ACID'}, {'name': '1-O-Oleoyl-D-glycerol 3-phosphoric acid'}]",Homo sapiens
taar2_human,<i>TAAR2</i>,Q9P1P5,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>TAAR2</i>,"[{'name': 'tryptamine'}, {'name': '&beta;-phenylethylamine'}]",Homo sapiens
taar3_human,<i>TAAR3</i>,Q9P1P4,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>TAAR3</i>,[{'name': 'isoamylamine'}],Homo sapiens
taar5_human,<i>TAAR5</i>,O14804,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>TAAR5</i>,[],Homo sapiens
taar6_human,<i>TAAR6</i>,Q96RI8,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>TAAR6</i>,[],Homo sapiens
taar8_human,<i>TAAR8</i>,Q969N4,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>TAAR8</i>,[],Homo sapiens
taar9_human,<i>TAAR9</i>,Q96RI9,Class A (Rhodopsin),Class A orphans,Orphan receptors,<i>TAAR9</i>,[],Homo sapiens
calcr_human,CT receptor,P30988,Class B1 (Secretin),Calcitonin receptors,Peptide receptors,CT receptor,"[{'name': '&alpha;-CGRP'}, {'name': '&beta;-CGRP'}, {'name': 'adrenomedullin'}, {'name': 'adrenomedullin 2/intermedin'}, {'name': 'calcitonin'}, {'name': 'amylin'}, {'name': 'amylin'}, {'name': 'amylin'}, {'name': 'amylin'}, {'name': 'amylin'}, {'name': '&alpha;-CGRP'}, {'name': '&alpha;-CGRP'}, {'name': '&beta;-CGRP'}, {'name': 'calcitonin'}, {'name': 'calcitonin'}, {'name': '&beta;-CGRP'}, {'name': 'calcitonin (salmon)'}]",Homo sapiens
calrl_human,calcitonin receptor-like receptor,Q16602,Class B1 (Secretin),Calcitonin receptors,Peptide receptors,calcitonin receptor-like receptor,[],Homo sapiens
crfr1_human,CRF<sub>1</sub> receptor,P34998-2,Class B1 (Secretin),Corticotropin-releasing factor receptors,Peptide receptors,CRF<sub>1</sub> receptor,"[{'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'urocortin 1'}, {'name': 'urocortin 1'}, {'name': 'urocortin 1'}, {'name': 'urocortin 1'}, {'name': 'urocortin 1'}, {'name': 'urocortin 2'}]",Homo sapiens
crfr2_human,CRF<sub>2</sub> receptor,Q13324,Class B1 (Secretin),Corticotropin-releasing factor receptors,Peptide receptors,CRF<sub>2</sub> receptor,"[{'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'corticotrophin-releasing hormone'}, {'name': 'urocortin 1'}, {'name': 'urocortin 1'}, {'name': 'urocortin 1'}, {'name': 'urocortin 2'}, {'name': 'urocortin 3'}, {'name': 'urocortin 2'}]",Homo sapiens
ghrhr_human,GHRH receptor,Q02643,Class B1 (Secretin),Glucagon receptor family,Peptide receptors,GHRH receptor,"[{'name': 'GHRH'}, {'name': 'GHRH'}, {'name': 'GHRH'}]",Homo sapiens
gipr_human,GIP receptor,P48546,Class B1 (Secretin),Glucagon receptor family,Peptide receptors,GIP receptor,"[{'name': 'gastric inhibitory polypeptide'}, {'name': 'gastric inhibitory polypeptide'}]",Homo sapiens
glp1r_human,GLP-1 receptor,P43220,Class B1 (Secretin),Glucagon receptor family,Peptide receptors,GLP-1 receptor,"[{'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon-like peptide 1-(7-36) amide'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon-like peptide 1-(7-37)'}, {'name': 'glucagon-like peptide 1-(7-37)'}, {'name': 'glucagon-like peptide 1-(7-37)'}, {'name': 'glucagon-like peptide 1-(7-37)'}, {'name': 'glucagon-like peptide 1-(7-37)'}, {'name': 'glucagon-like peptide 1-(7-37)'}, {'name': 'glucagon-like peptide 1-(7-37)'}, {'name': 'glucagon-like peptide 1-(7-37)'}, {'name': 'glucagon-like peptide 1-(7-37)'}]",Homo sapiens
glp2r_human,GLP-2 receptor,O95838,Class B1 (Secretin),Glucagon receptor family,Peptide receptors,GLP-2 receptor,"[{'name': 'glucagon-like peptide 2'}, {'name': 'glucagon-like peptide 2-(3-33)'}, {'name': 'glucagon-like peptide 2'}, {'name': 'glucagon-like peptide 2-(3-33)'}]",Homo sapiens
glr_human,glucagon receptor,P47871,Class B1 (Secretin),Glucagon receptor family,Peptide receptors,glucagon receptor,"[{'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}, {'name': 'glucagon'}]",Homo sapiens
sctr_human,secretin receptor,P47872,Class B1 (Secretin),Glucagon receptor family,Peptide receptors,secretin receptor,"[{'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'secretin'}, {'name': 'secretin'}]",Homo sapiens
pth1r_human,PTH1 receptor,Q03431,Class B1 (Secretin),Parathyroid hormone receptors,Peptide receptors,PTH1 receptor,"[{'name': 'PTH'}, {'name': 'PTH'}, {'name': 'PTHrP-(1-36)'}, {'name': 'TIP39'}, {'name': 'TIP39'}, {'name': 'TIP39'}, {'name': 'TIP39'}, {'name': 'PTH'}, {'name': 'PTHrP'}]",Homo sapiens
pth2r_human,PTH2 receptor,P49190,Class B1 (Secretin),Parathyroid hormone receptors,Peptide receptors,PTH2 receptor,"[{'name': 'PTH'}, {'name': 'PTH'}, {'name': 'PTHrP-(1-36)'}, {'name': 'TIP39'}, {'name': 'TIP39'}, {'name': 'TIP39'}, {'name': 'TIP39'}, {'name': 'PTHrP-(1-34) (human)'}, {'name': 'TIP39'}, {'name': 'TIP39'}, {'name': 'PTH'}, {'name': 'PTHrP'}]",Homo sapiens
pacr_human,PAC<sub>1</sub> receptor,P41586,Class B1 (Secretin),VIP and PACAP receptors,Peptide receptors,PAC<sub>1</sub> receptor,"[{'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PHM'}, {'name': 'PHV'}, {'name': 'PHV'}, {'name': 'PHI'}, {'name': 'PHI'}]",Homo sapiens
vipr1_human,VPAC<sub>1</sub> receptor,P32241,Class B1 (Secretin),VIP and PACAP receptors,Peptide receptors,VPAC<sub>1</sub> receptor,"[{'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'GHRH'}, {'name': 'PHM'}, {'name': 'secretin'}, {'name': 'GHRH'}, {'name': 'GHRH'}, {'name': 'secretin'}, {'name': 'secretin'}, {'name': 'PHI'}, {'name': 'PHI'}]",Homo sapiens
vipr2_human,VPAC<sub>2</sub> receptor,P41587,Class B1 (Secretin),VIP and PACAP receptors,Peptide receptors,VPAC<sub>2</sub> receptor,"[{'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'VIP'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-27'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'PACAP-38'}, {'name': 'GHRH'}, {'name': 'secretin'}, {'name': 'GHRH'}, {'name': 'GHRH'}, {'name': 'secretin'}, {'name': 'secretin'}, {'name': 'PHI'}, {'name': 'PHI'}]",Homo sapiens
gpc5d_human,<i>GPRC5D</i>,Q9NZD1,Class C (Glutamate),Class C Orphans,Orphan receptors,<i>GPRC5D</i>,[],Homo sapiens
gp156_human,<i>GPR156</i>,Q8NFN8,Class C (Glutamate),Class C Orphans,Orphan receptors,<i>GPR156</i>,[],Homo sapiens
gp158_human,<i>GPR158</i>,Q5T848,Class C (Glutamate),Class C Orphans,Orphan receptors,<i>GPR158</i>,[],Homo sapiens
gp179_human,<i>GPR179</i>,Q6PRD1,Class C (Glutamate),Class C Orphans,Orphan receptors,<i>GPR179</i>,[],Homo sapiens
rai3_human,<i>GPRC5A</i>,Q8NFJ5,Class C (Glutamate),Class C Orphans,Orphan receptors,<i>GPRC5A</i>,[],Homo sapiens
gpc5b_human,<i>GPRC5B</i>,Q9NZH0,Class C (Glutamate),Class C Orphans,Orphan receptors,<i>GPRC5B</i>,[],Homo sapiens
gpc5c_human,<i>GPRC5C</i>,Q9NQ84,Class C (Glutamate),Class C Orphans,Orphan receptors,<i>GPRC5C</i>,[],Homo sapiens
gpc6a_human,GPRC6 receptor,Q5T6X5,Class C (Glutamate),Class C Orphans,Orphan receptors,GPRC6 receptor,"[{'name': 'L-alanine'}, {'name': 'L-arginine'}, {'name': 'L-citrulline'}, {'name': 'L-glutamine'}, {'name': 'L-lysine'}, {'name': 'L-ornithine'}, {'name': 'L-serine'}, {'name': 'glycine'}]",Homo sapiens
fzd1_human,FZD<sub>1</sub>,Q9UP38,Class F (Frizzled),Frizzled,Protein receptors,FZD<sub>1</sub>,"[{'name': 'Wnt-5a'}, {'name': 'Wnt-3a'}, {'name': 'Wnt-1'}, {'name': 'Wnt-2'}, {'name': 'Wnt-7b'}]",Homo sapiens
fzd2_human,FZD<sub>2</sub>,Q14332,Class F (Frizzled),Frizzled,Protein receptors,FZD<sub>2</sub>,[{'name': 'Wnt-5a'}],Homo sapiens
fzd3_human,FZD<sub>3</sub>,Q9NPG1,Class F (Frizzled),Frizzled,Protein receptors,FZD<sub>3</sub>,[],Homo sapiens
fzd4_human,FZD<sub>4</sub>,Q9ULV1,Class F (Frizzled),Frizzled,Protein receptors,FZD<sub>4</sub>,[],Homo sapiens
fzd5_human,FZD<sub>5</sub>,Q13467,Class F (Frizzled),Frizzled,Protein receptors,FZD<sub>5</sub>,[],Homo sapiens
